week,count,perc,week_id
2017-01-09,1,4.729250413809411e-5,1
2017-01-16,453,0.02142350437455663,2
2017-01-23,147,0.006951998108299834,3
2017-01-30,166,0.007850555686923623,4
2017-02-06,204,0.009647670844171199,5
2017-02-13,190,0.008985575786237881,6
2017-02-20,181,0.008559943248995035,7
2017-02-27,204,0.009647670844171199,8
2017-03-06,188,0.008890990777961693,9
2017-03-13,125,0.005911563017261764,10
2017-03-20,167,0.007897848191061718,11
2017-03-27,103,0.0048711279262236935,12
2017-04-03,103,0.0048711279262236935,13
2017-04-10,167,0.007897848191061718,14
2017-04-17,221,0.0104516434145188,15
2017-04-24,177,0.008370773232442659,16
2017-05-01,221,0.0104516434145188,17
2017-05-08,118,0.005580515488295105,18
2017-05-15,88,0.004161740364152282,19
2017-05-22,63,0.002979427760699929,20
2017-05-29,132,0.006242610546228423,21
2017-06-05,135,0.006384488058642705,22
2017-06-12,67,0.0031685977772523055,23
2017-06-19,78,0.0036888153227713407,24
2017-06-26,100,0.004729250413809411,25
2017-07-03,93,0.004398202884842752,26
2017-07-10,57,0.0026956727358713644,27
2017-07-17,82,0.003877985339323717,28
2017-07-24,137,0.006479073066918893,29
2017-07-31,57,0.0026956727358713644,30
2017-08-07,301,0.014235043745566328,31
2017-08-14,257,0.012154173563490188,32
2017-08-21,129,0.00610073303381414,33
2017-08-28,98,0.004634665405533223,34
2017-09-04,245,0.011586663513833058,35
2017-09-11,105,0.004965712934499882,36
2017-09-18,122,0.005769685504847482,37
2017-09-25,172,0.008134310711752187,38
2017-10-02,111,0.005249467959328446,39
2017-10-09,101,0.004776542917947505,40
2017-10-16,96,0.004540080397257035,41
2017-10-23,95,0.004492787893118941,42
2017-10-30,89,0.004209032868290376,43
2017-11-06,71,0.003357767793804682,44
2017-11-13,104,0.004918420430361788,45
2017-11-20,44,0.002080870182076141,46
2017-11-27,107,0.00506029794277607,47
2017-12-04,135,0.006384488058642705,48
2017-12-11,62,0.002932135256561835,49
2017-12-18,41,0.0019389926696618586,50
2017-12-25,6,2.8375502482856467e-4,51
2018-01-01,17,8.039725703475999e-4,52
2018-01-08,68,0.0032158902813903996,53
2018-01-15,429,0.020288484275242373,54
2018-01-22,97,0.004587372901395129,55
2018-01-29,88,0.004161740364152282,56
2018-02-05,80,0.003783400331047529,57
2018-02-12,135,0.006384488058642705,58
2018-02-19,297,0.014045873729013952,59
2018-02-26,161,0.007614093166233152,60
2018-03-05,157,0.0074249231496807755,61
2018-03-12,1447,0.06843225348782218,62
2018-03-19,648,0.030645542681484984,63
2018-03-26,129,0.00610073303381414,64
2018-04-02,103,0.0048711279262236935,65
2018-04-09,210,0.009931425868999763,66
2018-04-16,555,0.026247339796642233,67
2018-04-23,123,0.005816978008985576,68
2018-04-30,120,0.005675100496571293,69
2018-05-07,97,0.004587372901395129,70
2018-05-14,98,0.004634665405533223,71
2018-05-21,84,0.003972570347599905,72
2018-05-28,118,0.005580515488295105,73
2018-06-04,97,0.004587372901395129,74
2018-06-11,150,0.007093875620714117,75
2018-06-18,237,0.011208323480728305,76
2018-06-25,737,0.03485457554977536,77
2018-07-02,74,0.0034996453062189643,78
2018-07-09,105,0.004965712934499882,79
2018-07-16,96,0.004540080397257035,80
2018-07-23,85,0.0040198628517379995,81
2018-07-30,81,0.003830692835185623,82
2018-08-06,88,0.004161740364152282,83
2018-08-13,80,0.003783400331047529,84
2018-08-20,109,0.005154882951052258,85
2018-08-27,80,0.003783400331047529,86
2018-09-03,106,0.005013005438637976,87
2018-09-10,59,0.0027902577441475526,88
2018-09-17,124,0.00586427051312367,89
2018-09-24,139,0.0065736580751950815,90
2018-10-01,226,0.01068810593520927,91
2018-10-08,120,0.005675100496571293,92
2018-10-15,79,0.003736107826909435,93
2018-10-22,116,0.005485930480018917,94
2018-10-29,122,0.005769685504847482,95
2018-11-05,244,0.011539371009694963,96
2018-11-12,59,0.0027902577441475526,97
2018-11-19,30,0.0014187751241428233,98
2018-11-26,58,0.0027429652400094585,99
2018-12-03,50,0.0023646252069047056,100
2018-12-10,58,0.0027429652400094585,101
2018-12-17,43,0.002033577677938047,102
2018-12-24,19,8.985575786237881e-4,103
2018-12-31,36,0.001702530148971388,104
2019-01-07,107,0.00506029794277607,105
2019-01-14,235,0.011113738472452117,106
2019-01-21,202,0.00955308583589501,107
2019-01-28,64,0.003026720264838023,108
2019-02-04,71,0.003357767793804682,109
2019-02-11,68,0.0032158902813903996,110
2019-02-18,198,0.009363915819342634,111
2019-02-25,68,0.0032158902813903996,112
2019-03-04,97,0.004587372901395129,113
2019-03-11,159,0.007519508157956964,114
2019-03-18,83,0.003925277843461811,115
2019-03-25,104,0.004918420430361788,116
2019-04-01,123,0.005816978008985576,117
2019-04-08,117,0.005533222984157011,118
2019-04-15,114,0.005391345471742729,119
2019-04-22,103,0.0048711279262236935,120
2019-04-29,157,0.0074249231496807755,121
2019-05-06,115,0.005438637975880823,122
2019-05-13,111,0.005249467959328446,123
2019-05-20,331,0.015653818869709152,124
2019-05-27,73,0.00345235280208087,125
2019-06-03,104,0.004918420430361788,126
2019-06-10,149,0.007046583116576023,127
2019-06-17,106,0.005013005438637976,128
2019-06-24,100,0.004729250413809411,129
2019-07-01,126,0.005958855521399858,130
2019-07-08,277,0.01310002364625207,131
2019-07-15,106,0.005013005438637976,132
2019-07-22,107,0.00506029794277607,133
2019-07-29,111,0.005249467959328446,134
2019-08-05,122,0.005769685504847482,135
2019-08-12,128,0.006053440529676046,136
2019-08-19,88,0.004161740364152282,137
2019-08-26,75,0.0035469378103570584,138
2019-09-02,65,0.0030740127689761173,139
2019-09-09,110,0.005202175455190352,140
2019-09-16,372,0.01759281153937101,141
2019-09-23,104,0.004918420430361788,142
2019-09-30,98,0.004634665405533223,143
2019-10-07,115,0.005438637975880823,144
2019-10-14,132,0.006242610546228423,145
2019-10-21,116,0.005485930480018917,146
2019-10-28,50,0.0023646252069047056,147
