month_yr,topic,value,sort,,,,,supreme_court,1
2017-01,supreme_court,0,1,,,,,women,2
2017-02,supreme_court,1,1,,,,,police,3
2017-03,supreme_court,3,1,,,,,education,4
2017-04,supreme_court,1,1,,,,,executive,5
2017-05,supreme_court,0,1,,,,,immigration,6
2017-06,supreme_court,0,1,,,,,guns,7
2017-07,supreme_court,0,1,,,,,women,8
2017-08,supreme_court,0,1,,,,,race_confed,9
2017-09,supreme_court,1,1,,,,,collective_bargaining,10
2017-10,supreme_court,0,1,,,,,environment,11
2017-11,supreme_court,0,1,,,,,healthcare,12
2017-12,supreme_court,0,1,,,,,other,13
2018-01,supreme_court,0,1,,,,,,
2018-02,supreme_court,0,1,,,,,,
2018-03,supreme_court,0,1,,,,,,
2018-04,supreme_court,0,1,,,,,,
2018-05,supreme_court,0,1,,,,,,
2018-06,supreme_court,1,1,,,,,,
2018-07,supreme_court,15,1,,,,,,
2018-08,supreme_court,21,1,,,,,,
2018-09,supreme_court,102,1,,,,,,
2018-10,supreme_court,126,1,,,,,,
2018-11,supreme_court,0,1,,,,,,
2018-12,supreme_court,0,1,,,,,,
2019-01,supreme_court,0,1,,,,,,
2019-02,supreme_court,0,1,,,,,,
2019-03,supreme_court,0,1,,,,,,
2019-04,supreme_court,0,1,,,,,,
2019-05,supreme_court,0,1,,,,,,
2019-06,supreme_court,0,1,,,,,,
2019-07,supreme_court,0,1,,,,,,
2019-08,supreme_court,0,1,,,,,,
2017-01,police,0,3,,,,,,
2017-02,police,6,3,,,,,,
2017-03,police,15,3,,,,,,
2017-04,police,17,3,,,,,,
2017-05,police,26,3,,,,,,
2017-06,police,22,3,,,,,,
2017-07,police,19,3,,,,,,
2017-08,police,28,3,,,,,,
2017-09,police,91,3,,,,,,
2017-10,police,86,3,,,,,,
2017-11,police,44,3,,,,,,
2017-12,police,17,3,,,,,,
2018-01,police,16,3,,,,,,
2018-02,police,25,3,,,,,,
2018-03,police,35,3,,,,,,
2018-04,police,41,3,,,,,,
2018-05,police,28,3,,,,,,
2018-06,police,40,3,,,,,,
2018-07,police,37,3,,,,,,
2018-08,police,43,3,,,,,,
2018-09,police,39,3,,,,,,
2018-10,police,32,3,,,,,,
2018-11,police,15,3,,,,,,
2018-12,police,15,3,,,,,,
2019-01,police,25,3,,,,,,
2019-02,police,25,3,,,,,,
2019-03,police,32,3,,,,,,
2019-04,police,31,3,,,,,,
2019-05,police,27,3,,,,,,
2019-06,police,30,3,,,,,,
2019-07,police,25,3,,,,,,
2019-08,police,32,3,,,,,,
2017-01,education,1,4,,,,,,
2017-02,education,12,4,,,,,,
2017-03,education,43,4,,,,,,
2017-04,education,27,4,,,,,,
2017-05,education,39,4,,,,,,
2017-06,education,17,4,,,,,,
2017-07,education,15,4,,,,,,
2017-08,education,9,4,,,,,,
2017-09,education,23,4,,,,,,
2017-10,education,27,4,,,,,,
2017-11,education,14,4,,,,,,
2017-12,education,11,4,,,,,,
2018-01,education,23,4,,,,,,
2018-02,education,77,4,,,,,,
2018-03,education,77,4,,,,,,
2018-04,education,116,4,,,,,,
2018-05,education,45,4,,,,,,
2018-06,education,13,4,,,,,,
2018-07,education,5,4,,,,,,
2018-08,education,21,4,,,,,,
2018-09,education,26,4,,,,,,
2018-10,education,33,4,,,,,,
2018-11,education,18,4,,,,,,
2018-12,education,17,4,,,,,,
2019-01,education,26,4,,,,,,
2019-02,education,28,4,,,,,,
2019-03,education,48,4,,,,,,
2019-04,education,71,4,,,,,,
2019-05,education,81,4,,,,,,
2019-06,education,32,4,,,,,,
2019-07,education,9,4,,,,,,
2019-08,education,10,4,,,,,,
2017-01,executive,33,5,,,,,,
2017-02,executive,134,5,,,,,,
2017-03,executive,168,5,,,,,,
2017-04,executive,142,5,,,,,,
2017-05,executive,33,5,,,,,,
2017-06,executive,78,5,,,,,,
2017-07,executive,42,5,,,,,,
2017-08,executive,45,5,,,,,,
2017-09,executive,19,5,,,,,,
2017-10,executive,22,5,,,,,,
2017-11,executive,32,5,,,,,,
2017-12,executive,7,5,,,,,,
2018-01,executive,30,5,,,,,,
2018-02,executive,12,5,,,,,,
2018-03,executive,17,5,,,,,,
2018-04,executive,8,5,,,,,,
2018-05,executive,11,5,,,,,,
2018-06,executive,24,5,,,,,,
2018-07,executive,56,5,,,,,,
2018-08,executive,35,5,,,,,,
2018-09,executive,99,5,,,,,,
2018-10,executive,127,5,,,,,,
2018-11,executive,205,5,,,,,,
2018-12,executive,2,5,,,,,,
2019-01,executive,75,5,,,,,,
2019-02,executive,10,5,,,,,,
2019-03,executive,16,5,,,,,,
2019-04,executive,41,5,,,,,,
2019-05,executive,12,5,,,,,,
2019-06,executive,53,5,,,,,,
2019-07,executive,50,5,,,,,,
2019-08,executive,39,5,,,,,,
2017-01,immigration,163,6,,,,,,
2017-02,immigration,268,6,,,,,,
2017-03,immigration,74,6,,,,,,
2017-04,immigration,47,6,,,,,,
2017-05,immigration,133,6,,,,,,
2017-06,immigration,32,6,,,,,,
2017-07,immigration,27,6,,,,,,
2017-08,immigration,46,6,,,,,,
2017-09,immigration,237,6,,,,,,
2017-10,immigration,26,6,,,,,,
2017-11,immigration,31,6,,,,,,
2017-12,immigration,44,6,,,,,,
2018-01,immigration,63,6,,,,,,
2018-02,immigration,38,6,,,,,,
2018-03,immigration,67,6,,,,,,
2018-04,immigration,41,6,,,,,,
2018-05,immigration,40,6,,,,,,
2018-06,immigration,931,6,,,,,,
2018-07,immigration,103,6,,,,,,
2018-08,immigration,42,6,,,,,,
2018-09,immigration,18,6,,,,,,
2018-10,immigration,29,6,,,,,,
2018-11,immigration,25,6,,,,,,
2018-12,immigration,25,6,,,,,,
2019-01,immigration,28,6,,,,,,
2019-02,immigration,139,6,,,,,,
2019-03,immigration,22,6,,,,,,
2019-04,immigration,26,6,,,,,,
2019-05,immigration,44,6,,,,,,
2019-06,immigration,40,6,,,,,,
2019-07,immigration,329,6,,,,,,
2019-08,immigration,60,6,,,,,,
2017-01,guns,0,7,,,,,,
2017-02,guns,0,7,,,,,,
2017-03,guns,7,7,,,,,,
2017-04,guns,7,7,,,,,,
2017-05,guns,6,7,,,,,,
2017-06,guns,13,7,,,,,,
2017-07,guns,6,7,,,,,,
2017-08,guns,4,7,,,,,,
2017-09,guns,4,7,,,,,,
2017-10,guns,18,7,,,,,,
2017-11,guns,3,7,,,,,,
2017-12,guns,5,7,,,,,,
2018-01,guns,7,7,,,,,,
2018-02,guns,256,7,,,,,,
2018-03,guns,2027,7,,,,,,
2018-04,guns,507,7,,,,,,
2018-05,guns,40,7,,,,,,
2018-06,guns,59,7,,,,,,
2018-07,guns,32,7,,,,,,
2018-08,guns,29,7,,,,,,
2018-09,guns,13,7,,,,,,
2018-10,guns,12,7,,,,,,
2018-11,guns,12,7,,,,,,
2018-12,guns,7,7,,,,,,
2019-01,guns,12,7,,,,,,
2019-02,guns,12,7,,,,,,
2019-03,guns,21,7,,,,,,
2019-04,guns,19,7,,,,,,
2019-05,guns,10,7,,,,,,
2019-06,guns,39,7,,,,,,
2019-07,guns,8,7,,,,,,
2019-08,guns,119,7,,,,,,
2017-01,women,435,2,,,,,,
2017-02,women,101,2,,,,,,
2017-03,women,105,2,,,,,,
2017-04,women,46,2,,,,,,
2017-05,women,12,2,,,,,,
2017-06,women,13,2,,,,,,
2017-07,women,14,2,,,,,,
2017-08,women,14,2,,,,,,
2017-09,women,18,2,,,,,,
2017-10,women,37,2,,,,,,
2017-11,women,9,2,,,,,,
2017-12,women,9,2,,,,,,
2018-01,women,305,2,,,,,,
2018-02,women,18,2,,,,,,
2018-03,women,43,2,,,,,,
2018-04,women,40,2,,,,,,
2018-05,women,10,2,,,,,,
2018-06,women,13,2,,,,,,
2018-07,women,5,2,,,,,,
2018-08,women,15,2,,,,,,
2018-09,women,104,2,,,,,,
2018-10,women,148,2,,,,,,
2018-11,women,24,2,,,,,,
2018-12,women,8,2,,,,,,
2019-01,women,198,2,,,,,,
2019-02,women,22,2,,,,,,
2019-03,women,36,2,,,,,,
2019-04,women,47,2,,,,,,
2019-05,women,280,2,,,,,,
2019-06,women,29,2,,,,,,
2019-07,women,10,2,,,,,,
2019-08,women,13,2,,,,,,
2017-01,race_confed,6,9,,,,,,
2017-02,race_confed,24,9,,,,,,
2017-03,race_confed,37,9,,,,,,
2017-04,race_confed,33,9,,,,,,
2017-05,race_confed,59,9,,,,,,
2017-06,race_confed,44,9,,,,,,
2017-07,race_confed,34,9,,,,,,
2017-08,race_confed,504,9,,,,,,
2017-09,race_confed,171,9,,,,,,
2017-10,race_confed,138,9,,,,,,
2017-11,race_confed,78,9,,,,,,
2017-12,race_confed,28,9,,,,,,
2018-01,race_confed,109,9,,,,,,
2018-02,race_confed,46,9,,,,,,
2018-03,race_confed,49,9,,,,,,
2018-04,race_confed,65,9,,,,,,
2018-05,race_confed,37,9,,,,,,
2018-06,race_confed,43,9,,,,,,
2018-07,race_confed,36,9,,,,,,
2018-08,race_confed,77,9,,,,,,
2018-09,race_confed,53,9,,,,,,
2018-10,race_confed,49,9,,,,,,
2018-11,race_confed,37,9,,,,,,
2018-12,race_confed,17,9,,,,,,
2019-01,race_confed,123,9,,,,,,
2019-02,race_confed,40,9,,,,,,
2019-03,race_confed,39,9,,,,,,
2019-04,race_confed,38,9,,,,,,
2019-05,race_confed,49,9,,,,,,
2019-06,race_confed,27,9,,,,,,
2019-07,race_confed,36,9,,,,,,
2019-08,race_confed,48,9,,,,,,
2017-01,collective_bargaining,0,10,,,,,,
2017-02,collective_bargaining,2,10,,,,,,
2017-03,collective_bargaining,22,10,,,,,,
2017-04,collective_bargaining,24,10,,,,,,
2017-05,collective_bargaining,34,10,,,,,,
2017-06,collective_bargaining,22,10,,,,,,
2017-07,collective_bargaining,12,10,,,,,,
2017-08,collective_bargaining,23,10,,,,,,
2017-09,collective_bargaining,32,10,,,,,,
2017-10,collective_bargaining,23,10,,,,,,
2017-11,collective_bargaining,30,10,,,,,,
2017-12,collective_bargaining,20,10,,,,,,
2018-01,collective_bargaining,13,10,,,,,,
2018-02,collective_bargaining,61,10,,,,,,
2018-03,collective_bargaining,28,10,,,,,,
2018-04,collective_bargaining,25,10,,,,,,
2018-05,collective_bargaining,30,10,,,,,,
2018-06,collective_bargaining,37,10,,,,,,
2018-07,collective_bargaining,32,10,,,,,,
2018-08,collective_bargaining,50,10,,,,,,
2018-09,collective_bargaining,54,10,,,,,,
2018-10,collective_bargaining,90,10,,,,,,
2018-11,collective_bargaining,18,10,,,,,,
2018-12,collective_bargaining,30,10,,,,,,
2019-01,collective_bargaining,28,10,,,,,,
2019-02,collective_bargaining,23,10,,,,,,
2019-03,collective_bargaining,42,10,,,,,,
2019-04,collective_bargaining,40,10,,,,,,
2019-05,collective_bargaining,68,10,,,,,,
2019-06,collective_bargaining,60,10,,,,,,
2019-07,collective_bargaining,49,10,,,,,,
2019-08,collective_bargaining,45,10,,,,,,
2017-01,environment,8,11,,,,,,
2017-02,environment,43,11,,,,,,
2017-03,environment,50,11,,,,,,
2017-04,environment,93,11,,,,,,
2017-05,environment,32,11,,,,,,
2017-06,environment,26,11,,,,,,
2017-07,environment,22,11,,,,,,
2017-08,environment,28,11,,,,,,
2017-09,environment,25,11,,,,,,
2017-10,environment,33,11,,,,,,
2017-11,environment,21,11,,,,,,
2017-12,environment,17,11,,,,,,
2018-01,environment,12,11,,,,,,
2018-02,environment,36,11,,,,,,
2018-03,environment,26,11,,,,,,
2018-04,environment,27,11,,,,,,
2018-05,environment,25,11,,,,,,
2018-06,environment,24,11,,,,,,
2018-07,environment,28,11,,,,,,
2018-08,environment,23,11,,,,,,
2018-09,environment,44,11,,,,,,
2018-10,environment,18,11,,,,,,
2018-11,environment,14,11,,,,,,
2018-12,environment,18,11,,,,,,
2019-01,environment,16,11,,,,,,
2019-02,environment,12,11,,,,,,
2019-03,environment,102,11,,,,,,
2019-04,environment,45,11,,,,,,
2019-05,environment,43,11,,,,,,
2019-06,environment,33,11,,,,,,
2019-07,environment,28,11,,,,,,
2019-08,environment,29,11,,,,,,
2017-01,healthcare,4,12,,,,,,
2017-02,healthcare,48,12,,,,,,
2017-03,healthcare,78,12,,,,,,
2017-04,healthcare,14,12,,,,,,
2017-05,healthcare,78,12,,,,,,
2017-06,healthcare,67,12,,,,,,
2017-07,healthcare,113,12,,,,,,
2017-08,healthcare,17,12,,,,,,
2017-09,healthcare,20,12,,,,,,
2017-10,healthcare,6,12,,,,,,
2017-11,healthcare,6,12,,,,,,
2017-12,healthcare,7,12,,,,,,
2018-01,healthcare,8,12,,,,,,
2018-02,healthcare,12,12,,,,,,
2018-03,healthcare,9,12,,,,,,
2018-04,healthcare,7,12,,,,,,
2018-05,healthcare,24,12,,,,,,
2018-06,healthcare,10,12,,,,,,
2018-07,healthcare,3,12,,,,,,
2018-08,healthcare,11,12,,,,,,
2018-09,healthcare,17,12,,,,,,
2018-10,healthcare,6,12,,,,,,
2018-11,healthcare,6,12,,,,,,
2018-12,healthcare,3,12,,,,,,
2019-01,healthcare,6,12,,,,,,
2019-02,healthcare,13,12,,,,,,
2019-03,healthcare,13,12,,,,,,
2019-04,healthcare,6,12,,,,,,
2019-05,healthcare,18,12,,,,,,
2019-06,healthcare,9,12,,,,,,
2019-07,healthcare,8,12,,,,,,
2019-08,healthcare,11,12,,,,,,
2017-01,other,4,13,,,,,,
2017-02,other,82,13,,,,,,
2017-03,other,107,13,,,,,,
2017-04,other,252,13,,,,,,
2017-05,other,80,13,,,,,,
2017-06,other,88,13,,,,,,
2017-07,other,91,13,,,,,,
2017-08,other,105,13,,,,,,
2017-09,other,89,13,,,,,,
2017-10,other,106,13,,,,,,
2017-11,other,112,13,,,,,,
2017-12,other,131,13,,,,,,
2018-01,other,53,13,,,,,,
2018-02,other,80,13,,,,,,
2018-03,other,95,13,,,,,,
2018-04,other,144,13,,,,,,
2018-05,other,147,13,,,,,,
2018-06,other,84,13,,,,,,
2018-07,other,84,13,,,,,,
2018-08,other,75,13,,,,,,
2018-09,other,64,13,,,,,,
2018-10,other,111,13,,,,,,
2018-11,other,74,13,,,,,,
2018-12,other,62,13,,,,,,
2019-01,other,88,13,,,,,,
2019-02,other,99,13,,,,,,
2019-03,other,121,13,,,,,,
2019-04,other,128,13,,,,,,
2019-05,other,121,13,,,,,,
2019-06,other,107,13,,,,,,
2019-07,other,111,13,,,,,,
2019-08,other,99,13,,,,,,