state,start_date,end_date,note,order
West Virginia,2/22/18,3/7/18,,1
West Virginia,2/19/19,2/20/19,,1
Kentucky,4/2/18,4/3/18,"one-day strike, adding a day to the end so it'll show up on graph at all",2
Oklahoma,4/2/18,4/12/18,,3
Georgia,4/19/18,4/23/18,,4
Arizona,4/26/18,5/3/18,,5
Colorado,4/27/18,5/12/18,,6
Colorado,2/11/19,2/14/19,Denver,6
North Carolina,5/16/18,5/17/18,"one-day strike, adding a day to the end so it'll show up on graph at all",7
North Carolina,5/1/19,5/2/19,"one-day strike, adding a day to the end so it'll show up on graph at all",7
Washington,8/24/18,7/17/18,,8
California,1/14/19,1/22/19,Los Angeles,9
California,2/21/19,2/28/19,Oakland,9
California,4/11/19,4/11/19,Sacramento,9
Virginia,1/28/19,1/29/19,"one-day strike, adding a day to the end so it'll show up on graph at all",10
South Carolina,5/1/19,5/2/19,"one-day strike, adding a day to the end so it'll show up on graph at all",11
Tennessee,5/3/19,5/4/19,"one-day strike, adding a day to the end so it'll show up on graph at all",12
Oregon,5/8/19,5/9/19,"one-day strike, adding a day to the end so it'll show up on graph at all",13
Illinois,10/17/19,10/31/19,Chicago,14