Event,Date,Dead,Injured,Total casualties
"Borderline Bar & Grill shooting (Thousand Oaks, CA)",11/7/18,12,22,34
Tree of Life synagogue shooting,10/27/18,11,6,17
Santa Fe school shooting,5/18/18,10,13,23
Parkland school shooting,2/14/18,17,17,34
Rancho Tehama school shooting,11/14/17,5,10,15
Las Vegas shooting,10/1/17,58,546,604
"Texas First Baptist Church massacre (Sutherland Springs, TX)",11/5/17,26,20,46
Gilroy garlic festival shooting,7/28/19,3,12,15
"Dayton, OH shooting",8/4/19,9,27,36
El Paso Walmart shooting,8/3/19,22,26,48
Odessa-Midland shooting spree,8/31/19,7,25,32